"Tipo de Cambio Oficial del Dólar Estadounidense (TCO)"
"Rango de fecha de corte";2026-06-26;2026-07-30
"Rango de fecha de vigencia";2026-06-29;2026-07-31
"Monto - Expresado en dólares estadounidenses"
"N° - Número de Transacciones"
"TCO - Tipo de Cambio Oficial (En Bs/USD)"

"Fecha de corte";"Fecha de vigencia";"TC (En Bs/USD)";"BANCO BISA";;"BANCO DE CRÉDITO";;"BANCO DE LA NACIÓN ARGENTINA";;"BANCO ECONÓMICO";;"BANCO FIE";;"BANCO FORTALEZA";;"BANCO GANADERO";;"BANCO MERCANTIL SANTA CRUZ";;"BANCO NACIONAL DE BOLIVIA";;"BANCO PRODEM";;"BANCO PYME DE LA COMUNIDAD";;"BANCO PYME ECOFUTURO";;"BANCO SOLIDARIO";;"BANCO UNION";;"TOTAL BANCOS";
;;;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto;N°;Monto
2026-06-26;2026-06-29;7,0000;-;-;-;-;-;-;-;-;-;-;-;-;5;5.743;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5.743
2026-06-26;2026-06-29;7,0100;-;-;-;-;-;-;-;-;-;-;-;-;1;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;197
2026-06-26;2026-06-29;7,2000;-;-;-;-;-;-;4;10.107;-;-;-;-;-;-;2;2.901;-;-;-;-;-;-;-;-;-;-;-;-;6;13.008
2026-06-26;2026-06-29;7,5000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;13.240;-;-;-;-;-;-;-;-;2;5.300;-;-;9;18.540
2026-06-26;2026-06-29;8,0000;-;-;-;-;-;-;-;-;-;-;-;-;1;5.000;1;2.000;-;-;-;-;-;-;-;-;-;-;-;-;2;7.000
2026-06-26;2026-06-29;8,2000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;469;-;-;-;-;-;-;-;-;-;-;1;469
2026-06-26;2026-06-29;8,4000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1.000;-;-;-;-;-;-;-;-;-;-;-;-;3;1.000
2026-06-26;2026-06-29;8,5000;12;22.524;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;22.524
2026-06-26;2026-06-29;8,7000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4.834;-;-;-;-;-;-;-;-;-;-;-;-;1;4.834
2026-06-26;2026-06-29;8,8500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;478.750;-;-;-;-;-;-;-;-;-;-;-;-;2;478.750
2026-06-26;2026-06-29;9,0000;37;82.783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;82.783
2026-06-26;2026-06-29;9,0500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;650;2;650
2026-06-26;2026-06-29;9,1000;-;-;2;2.379;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2.379
2026-06-26;2026-06-29;9,1500;1;14.965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;14.965
2026-06-26;2026-06-29;9,2000;1;249.965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;249.965
2026-06-26;2026-06-29;9,3200;-;-;-;-;-;-;-;-;-;-;-;-;1;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;107
2026-06-26;2026-06-29;9,5000;5;43.654;13;19.102;-;-;-;-;-;-;-;-;1;5.005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;67.762
2026-06-26;2026-06-29;9,6000;3;220.425;-;-;-;-;-;-;-;-;-;-;63;32.733;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;253.157
2026-06-26;2026-06-29;9,6300;-;-;-;-;-;-;-;-;-;-;-;-;1;30.465;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;30.465
2026-06-26;2026-06-29;9,6500;1;5.507;-;-;-;-;-;-;-;-;-;-;-;-;2;93.295;-;-;-;-;-;-;-;-;-;-;-;-;3;98.802
2026-06-26;2026-06-29;9,7000;7;14.864;-;-;1;7.425;-;-;-;-;-;-;71;214.200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79;236.489
2026-06-26;2026-06-29;9,7150;1;60.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;60.000
2026-06-26;2026-06-29;9,7300;-;-;-;-;-;-;1;2.000.000;-;-;-;-;2;752.803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2.752.803
2026-06-26;2026-06-29;9,7400;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;54.792;-;-;-;-;-;-;-;-;2;100.000;-;-;3;154.792
2026-06-26;2026-06-29;9,7500;8;146.317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1.440.000;-;-;-;-;-;-;-;-;-;-;9;1.586.317
2026-06-26;2026-06-29;9,7600;1;1.054;-;-;-;-;1;40.000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;41.054
2026-06-26;2026-06-29;9,7800;3;591.315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;591.315
2026-06-26;2026-06-29;9,8000;3;3.717;-;-;-;-;4;1.144.025;-;-;-;-;-;-;2;999.857;-;-;-;-;-;-;-;-;-;-;-;-;9;2.147.599
2026-06-26;2026-06-29;9,8100;1;500.000;-;-;-;-;1;2.000.000;-;-;-;-;-;-;1;1.500.000;-;-;-;-;-;-;-;-;-;-;-;-;3;4.000.000
